ds_e,ds_spec,+-,ds_model,ds_residuals,+-,ds_ratio,+-
1.8379999935626983,0.011295896013352773,0.0005132484706221802,0.0019639609211682244,18.182100145124654,1.0,5.751588991207435,0.26133334176368656
2.2399999856948853,0.05339753847279601,0.0010769438298707796,0.0443191846774891,8.429737506733483,1.0,1.2048402708978094,0.02429972116381889
2.6399999976158144,0.09852759131034575,0.0014448674011770422,0.09286654802717312,3.9180365468560883,1.0,1.0609589071999983,0.015558534605531674
3.040000009536743,0.14006688425134528,0.0017137647960624286,0.13255959169362302,4.3805851158636955,1.0,1.0566333409888091,0.012928259465549274
3.439999985694885,0.17280694326114027,0.0018979790449378219,0.1630211608689521,5.1558959084865705,1.0,1.060027681928082,0.01164253177207805
3.840000021457672,0.18649470380804833,0.0019702389857857603,0.17519544052008001,5.73497091951107,1.0,1.064495190368115,0.011245948980960731
4.239999985694885,0.18661951375045177,0.0019710464880598865,0.1796359016893956,3.5430986044018544,1.0,1.038876482904466,0.010972452998109356
4.639999985694885,0.17981331520454555,0.0019358542772075515,0.17450228541053261,2.7435070173122926,1.0,1.0304353022169208,0.011093575494746542
5.039999961853027,0.17909163691038138,0.0019328125123159023,0.1684429365535436,5.509432647493825,1.0,1.0632184440304675,0.01147458333286366
5.440000033378601,0.17006607237617832,0.0018846792304172025,0.16161189141032312,4.48573997601902,1.0,1.052311626898732,0.011661760864069788
5.840000033378601,0.1621522536099941,0.0018411443902559125,0.15361944582963943,4.634513091701973,1.0,1.0555451019515938,0.011985099804992794
6.239999985694885,0.15984844396963682,0.0018284033222057152,0.14479825185589063,8.231330544504932,1.0,1.1039390456780154,0.012627247213076991
6.639999985694885,0.1422130302243634,0.0017273898974474323,0.13595110770197608,3.6250776571291676,1.0,1.0460601066680115,0.012705964126707327
7.039999961853027,0.12047896770532643,0.0015943247217621761,0.12595938031013712,-3.437450683668317,1.0,0.9564906353832734,0.012657451297685259
7.440000033378601,0.10663100599409829,0.001502544478228917,0.11710156628032731,-6.968552637171115,1.0,0.9105856512528301,0.012831121956404947
7.840000033378601,0.10144242447677528,0.001467874811406342,0.10936359129271848,-5.396350393365014,1.0,0.9275703483918911,0.013421969725532177
8.239999771118164,0.09322189907686526,0.0014084836580370121,0.10206138512750322,-6.275888257700805,1.0,0.9133904949497308,0.013800358051945131
8.640000200271606,0.08281620317875238,0.001330603945770618,0.09513404088807778,-9.257328409763236,1.0,0.8705212393551436,0.01398662280451255
9.039999961853027,0.0771791454494426,0.0012863867948661343,0.08867426491546643,-8.935974398913237,1.0,0.8703669043438682,0.014506878586390905
9.439999914169311,0.0733403594824265,0.0012552805794438457,0.08233920880377554,-7.168795143262715,1.0,0.8907100341127346,0.015245234896965474
9.84000015258789,0.06495168726171602,0.0011842765908638346,0.07484313562000676,-8.352312656180871,1.0,0.8678376009189198,0.015823449686510175
10.239999771118164,0.05697812555606112,0.0011128896071497957,0.06484303527878595,-7.067106811130644,1.0,0.8787084890626964,0.017162824077636734
10.640000200271606,0.050654806671500005,0.001051458708854356,0.058860741843448125,-7.8043342100319935,1.0,0.8605872961340949,0.017863497399521738
11.039999961853027,0.048190496607504955,0.00102688135807584,0.05392136924570438,-5.58085176357459,1.0,0.8937179689913759,0.01904405196753504
11.439999914169311,0.04242501067365236,0.0009663279562263231,0.04716041553328777,-4.900411738192881,1.0,0.8995894161218116,0.020490234135961946
11.84000015258789,0.03595342467499142,0.0008937092112846336,0.04098983872826274,-5.635405778163447,1.0,0.8771301812954272,0.021803189254033725
12.239999771118164,0.03373312284610023,0.0008671026408175657,0.03745094340181275,-4.287636066022238,1.0,0.9007282536030169,0.02315302531939943
12.640000200271606,0.03165528728223267,0.0008408680568468283,0.034718420615898596,-3.6428228052238896,1.0,0.9117721002474628,0.024219651756329313
13.039999961853027,0.028470890049733927,0.0007993047498959658,0.031959804754764974,-4.364936784730917,1.0,0.8908342922679816,0.025009688138873727
13.439999914169311,0.02479327425151501,0.0007496554427818796,0.028896529078035988,-5.473521023597589,1.0,0.8580018099945496,0.025942750451357376
13.84000015258789,0.024693346415000813,0.0007483330873177632,0.026307515722022445,-2.157019827637544,1.0,0.9386422753072657,0.028445600687841514
14.239999771118164,0.02323769443015662,0.0007284150930712227,0.02426778344937127,-1.4141511193452612,1.0,0.957553230134772,0.030015724122101246
14.640000200271606,0.020933823042258368,0.0006935669267320571,0.022533229807112247,-2.3060597372916134,1.0,0.9290200837365511,0.03077973875334747
15.039999961853027,0.01961025889866255,0.0006717858681973859,0.020909615229499016,-1.9341822928235326,1.0,0.9378584294079524,0.03212808369852923
15.439999914169311,0.01842478587919097,0.0006526542429389129,0.019340075378134768,-1.4024110144787159,1.0,0.9526739435577074,0.033746209886895355
15.840000200271607,0.017545276491151292,0.0006361687382040136,0.017921225012820324,-0.590957239946092,1.0,0.9790221638643514,0.03549806097233404
16.240000247955322,0.014853231184335283,0.0005893815498549943,0.01673692169129439,-3.196045935646533,1.0,0.887452989163539,0.035214453453621494
16.639999866485596,0.015530720067704548,0.0006026098046386617,0.015669256786001624,-0.22989456399592753,1.0,0.9911586924517798,0.03845809746235141
17.04000005722046,0.013989469420399062,0.0005745150529244114,0.014640485432597114,-1.1331574497208277,1.0,0.9555331675855118,0.03924153031464727
17.44000005722046,0.012288787106122528,0.0005401275340932797,0.013630761603312908,-2.4845511707585377,1.0,0.9015480912772902,0.039625631333909006
17.839999771118165,0.01296622032561516,0.0005545864352045169,0.012690004132320484,0.49805796853436407,1.0,1.021766438404159,0.04370262053674412
