ds_e,ds_spec,+-,ds_model,ds_residuals,+-,ds_ratio,+-,model_ratio,no_spin
3.0700000524520874,0.9803831202597478,0.014871080410318357,0.9965627968297194,-1.0879960381859823,1.0,0.9927823588955941,0.015059160020187142,1.0091666653359663,1.004282994928998
3.1200000047683716,0.9219399461059662,0.014428999149839397,0.9674075887019553,-3.1511293419471302,1.0,0.9623610844506332,0.01506161798067993,1.0098221908067522,1.0046232957880903
3.1699999570846558,0.9208560472020701,0.014419573553670522,0.9356707425423397,-1.0274017664342423,1.0,0.9945211877030447,0.015573087086021996,1.010521004884058,1.0049846117085457
3.21999990940094,0.903533987757004,0.014285576304104382,0.9057449822564241,-0.15477110984908904,1.0,1.0087997573148766,0.01594991013504565,1.0112683426084708,1.0053681907791683
3.2699999809265137,0.886654248849467,0.014153054766343364,0.8802634451838105,0.4515494196245258,1.0,1.0194082812139922,0.016272116500887685,1.0120606164519537,1.0057702396357349
3.3200000524520874,0.8516875645795053,0.013875797197618289,0.8576768963079082,-0.4316387478934125,1.0,1.005824525837516,0.01638701528277286,1.0128977965958823,1.0061900204270375
3.3700000047683716,0.8494913536034372,0.013858536858982471,0.8364754839353762,0.9391950824610115,1.0,1.029558950369458,0.016796145836760527,1.0137840927952744,1.0066293985449348
3.4199999570846558,0.8259155725590301,0.013668827760732197,0.8151309142666079,0.7889965753613793,1.0,1.0281502872604573,0.017015793932988323,1.0147248841202747,1.007090604410458
3.46999990940094,0.791833698241043,0.013387470318902549,0.7943550243602263,-0.188334768191666,1.0,1.0125059118242208,0.017118358150670494,1.0157298938383492,1.007577637183677
3.5199999809265137,0.7759470441415706,0.013253535765431434,0.7765239440598131,-0.04352800101443135,1.0,1.0160484457523309,0.01735457917761285,1.016803855892379,1.008089853433705
3.5700000524520874,0.7621239507549948,0.013138514055065546,0.7608064731422988,0.10027599827304057,1.0,1.0197151435529395,0.017579216258013227,1.0179523700938096,1.008625378258367
3.6200000047683716,0.7482261104918296,0.013017800237263273,0.7452913882143757,0.22543918511311517,1.0,1.0232081764749916,0.01780199789303038,1.0191949085766014,1.009188220499267
3.6699999570846558,0.7376916040499735,0.012928408090493702,0.730317272584677,0.5703974854196313,1.0,1.0308590754272793,0.018066312179432175,1.020554096389325,1.0097789315453942
3.71999990940094,0.7230001269473417,0.012801503947200105,0.71564700683345,0.5743950198523371,1.0,1.032557500455191,0.018282554075887362,1.0220560924438202,1.0103926841446471
3.7699999809265137,0.7033871605222374,0.012628402520826969,0.7001590323802453,0.25562442570769695,1.0,1.0284670200178085,0.018464789005442312,1.0237469689324787,1.0110293686860718
3.8200000524520874,0.704267375317595,0.012636205103670865,0.6846337096898816,1.5537628161804489,1.0,1.0550584761659816,0.018930218505702666,1.0256454065496496,1.0116933645576052
3.8700000047683716,0.6585468005336585,0.012227419089180663,0.6700924200780328,-0.9442401098847039,1.0,1.0099183800225229,0.018751431589060858,1.027624233846673,1.0123868830360172
3.9225000143051147,0.6701493572109857,0.011747155680589422,0.6552514287007417,1.268215806049184,1.0,1.05295114245229,0.018457349636086126,1.0295432399060294,1.0131475459289927
3.977500081062317,0.6361544705382004,0.011451478294360617,0.6400971178779736,-0.34429156117903337,1.0,1.0249575576999757,0.018450360357779378,1.0313098610718714,1.01398042971003
4.0325000286102295,0.6273849113586986,0.01137395513898768,0.6261323686635195,0.11012375905067347,1.0,1.0350195910671167,0.01876402537522955,1.0329532260578742,1.01484744564842
4.0874998569488525,0.6168337718773035,0.011278397129388839,0.6125785260672411,0.37729171630020536,1.0,1.0417717452208448,0.01904810663173986,1.0345850523774862,1.0157482359070464
4.142499923706055,0.5970918048242636,0.011100063715837973,0.5986626980889156,-0.14152110337984614,1.0,1.0335314087416598,0.019213568829216682,1.036250534202235,1.0166886739229617
4.197499990463257,0.5803642558115669,0.01094540855898498,0.58550658379308,-0.46981599213962205,1.0,1.0288421996167703,0.01940350065457269,1.0379582745277802,1.017669243168531
4.252500057220459,0.5772610779204835,0.010917461208367812,0.573439327241563,0.35005855353910664,1.0,1.046632034821445,0.019794448433559868,1.0397028188346886,1.0186854929605975
4.307500123977661,0.5646021347923988,0.010800251775890312,0.5612169504697179,0.3134356858455666,1.0,1.04777010448325,0.020042752647102365,1.0414879905610723,1.0197407232471878
4.362499952316284,0.538597029826021,0.010552704538353526,0.5486333363255774,-0.951064863332405,1.0,1.0242386884564971,0.0200678571501286,1.0433245222743586,1.0208429431638746
4.417500019073486,0.546882993008577,0.010629962381211493,0.5367024518907891,0.9577212743275584,1.0,1.0650365717418713,0.02070150075420793,1.0452103040590583,1.021994878166541
4.4725000858306885,0.5356224853498768,0.010522408587462216,0.5255911073434322,0.9533347734089425,1.0,1.067122299267972,0.020963826487521296,1.0471367544937065,1.023195862994785
4.5274999141693115,0.532738359285621,0.010494008627772443,0.5145398381666075,1.7341820237169392,1.0,1.0862071020528496,0.02139636934681299,1.0491019029587985,1.0244465532855243
4.582499980926514,0.5042175005304519,0.01021609957110035,0.5035017189895238,0.07006407249131887,1.0,1.0526020301618475,0.021327080352353533,1.0511077680580119,1.025751632392025
4.637500047683716,0.5085120769571664,0.010258120311074741,0.4932116562802827,1.4915423306514792,1.0,1.0858228467536013,0.02190410395985609,1.0531519484824852,1.0271139651642394
4.692499876022339,0.4893694574560766,0.010068085783016696,0.48366648063868894,0.5664410236757883,1.0,1.0676739423402097,0.021965884212824357,1.0552315644007537,1.0285337648726895
