ds_e,ds_spec,+-,ds_model,ds_residuals,+-,ds_ratio,+-,model_ratio,no_spin
3.0700000524520874,0.9803831202597478,0.014871080410318357,1.0022399157344497,-1.469751683915074,1.0,0.984595634508201,0.014934978530169464,1.006546344352153,1.000096006385989
3.1200000047683716,0.9219399461059662,0.014428999149839397,0.9727565528804635,-3.5218386422223125,1.0,0.9543803305667249,0.014936713650964778,1.0069850258905022,1.0001038713888328
3.1699999570846558,0.9208560472020701,0.014419573553670522,0.9406693237442902,-1.374054265091397,1.0,0.9862278195820599,0.015443222236905177,1.0074476449634338,1.0001136489619527
3.21999990940094,0.903533987757004,0.014285576304104382,0.9103927025732551,-0.48011467442727784,1.0,1.000341091937987,0.015816172045156618,1.0079346682301331,1.0001275038548225
3.2699999809265137,0.886654248849467,0.014153054766343364,0.8845746490118833,0.1469364650894338,1.0,1.010814667068806,0.016134942521520344,1.0084438556502726,1.0001539783580329
3.3200000524520874,0.8516875645795053,0.013875797197618289,0.8616584375762955,-0.7185801907296228,1.0,0.9973008738370143,0.016248146909603137,1.0089764703423199,1.0002196681745836
3.3700000047683716,0.8494913536034372,0.013858536858982471,0.8401254311269123,0.6758233262160239,1.0,1.0207893654865505,0.01665307950086174,1.0095348259065382,1.000370339207838
3.4199999570846558,0.8259155725590301,0.013668827760732197,0.8184391092358275,0.546971799928667,1.0,1.0193486664574485,0.016870127907587153,1.0101211822308087,1.0006246964122916
3.46999990940094,0.791833698241043,0.013387470318902549,0.7973100865639373,-0.40906819529316824,1.0,1.0037953006165792,0.016971088529207243,1.0107376331733824,1.0009376135021346
3.5199999809265137,0.7759470441415706,0.013253535765431434,0.779118556503862,-0.23929556749403516,1.0,1.007264811842823,0.017204550632431766,1.0113817845498905,1.0012546878105897
3.5700000524520874,0.7621239507549948,0.013138514055065546,0.7630245933121356,-0.0685498035292269,1.0,1.0108578495868745,0.017426522354157155,1.0120524342704496,1.0015602161427983
3.6200000047683716,0.7482261104918296,0.013017800237263273,0.7470986769375034,0.08660707137746239,1.0,1.0142790619038842,0.01764664722008219,1.0127507374685216,1.0018608268648568
3.6699999570846558,0.7376916040499735,0.012928408090493702,0.7316665717260465,0.466030487416092,1.0,1.0218219482232964,0.017907932081546615,1.013476305906719,1.0021655801232583
3.71999990940094,0.7230001269473417,0.012801503947200105,0.7164793117342448,0.509378838610841,1.0,1.0234648191951061,0.018121558260391347,1.014234080894609,1.0024815621448226
3.7699999809265137,0.7033871605222374,0.012628402520826969,0.7003935033942096,0.23705746812319334,1.0,1.0193705177855592,0.01830147312740559,1.0150320169030518,1.0028134138799933
3.8200000524520874,0.704267375317595,0.012636205103670865,0.6841848997359957,1.5892805962579084,1.0,1.045686365204335,0.018762060898923964,1.0158681858718661,1.0031624550470761
3.8700000047683716,0.6585468005336585,0.012227419089180663,0.668958276511874,-0.8514859842685829,1.0,1.000909083560488,0.01858415351034162,1.0167332298040395,1.0035301359028357
3.9225000143051147,0.6701493572109857,0.011747155680589422,0.6535515578297507,1.4129206960848033,1.0,1.0435168838626765,0.018291975002520323,1.0176717738093495,1.0039413348791688
3.977500081062317,0.6361544705382004,0.011451478294360617,0.6380111411085183,-0.1621337020943613,1.0,1.015732733047338,0.018284303394932616,1.018697234846975,1.0044024366231712
4.0325000286102295,0.6273849113586986,0.01137395513898768,0.6237819097480092,0.316776492140276,1.0,1.0256628899487232,0.01859439633754828,1.0197726223034487,1.0048924442872653
4.0874998569488525,0.6168337718773035,0.011278397129388839,0.6100121814105665,0.6048368742896606,1.0,1.0323129636847852,0.01887515907376304,1.0208965714688902,1.0054121039540571
4.142499923706055,0.5970918048242636,0.011100063715837973,0.5959012249486073,0.10725883257386462,1.0,1.0241071845980054,0.019038370496863605,1.0220651512044032,1.00596706158219
4.197499990463257,0.5803642558115669,0.01094540855898498,0.5825614044890435,-0.20073701823336132,1.0,1.0194210702623592,0.01922582239675704,1.0232804045233683,1.0065606288284599
4.252500057220459,0.5772610779204835,0.010917461208367812,0.5703230395433871,0.6354992470024671,1.0,1.0370082393938371,0.01961243821794535,1.0245445496744505,1.007191629295785
4.307500123977661,0.5646021347923988,0.010800251775890312,0.5579440751901564,0.6164726286386563,1.0,1.0380966673913397,0.0198577098537922,1.0258549327990287,1.0078592370794333
4.362499952316284,0.538597029826021,0.010552704538353526,0.5452158177365894,-0.6272124730217413,1.0,1.0147448005815134,0.01988184388210645,1.0272149410510416,1.00856529809126
4.417500019073486,0.546882993008577,0.010629962381211493,0.5331488341100682,1.292023283429865,1.0,1.055126404488994,0.020508873251732375,1.028628462730844,1.0093137960199292
4.4725000858306885,0.5356224853498768,0.010522408587462216,0.5219110991249344,1.3030653686343203,1.0,1.0571572607347872,0.0207680613546078,1.030095119209925,1.010108412913935
4.5274999141693115,0.532738359285621,0.010494008627772443,0.5107499583037496,2.0953290360062193,1.0,1.076033033059148,0.02119595808312508,1.0316205266416054,1.0109511296050981
4.582499980926514,0.5042175005304519,0.01021609957110035,0.49962386110005674,0.44964708873725057,1.0,1.0427149746928128,0.021126755803859306,1.0332153904511447,1.0118447824468473
4.637500047683716,0.5085120769571664,0.010258120311074741,0.48926980646115464,1.875808619171452,1.0,1.0755863344677605,0.02169760468608802,1.0348857805822216,1.0127930526631437
4.692499876022339,0.4893694574560766,0.010068085783016696,0.4796805330224884,0.9623402742487426,1.0,1.0575625284552475,0.021757856145624182,1.0366240672050029,1.013801818014434
