ds_e,ds_spec,+-,ds_model,ds_residuals,+-,ds_ratio,+-
3.2399999856948853,0.17361617140430807,0.001902842437728453,0.16072740036962122,6.773430515914404,1.0,1.0801902538400225,0.011838942416492327
3.6399999976158144,0.19218804422123256,0.001998509877548053,0.18123459991176943,5.480805690538679,1.0,1.0604379313596608,0.011027198330346353
4.039999949932098,0.2005035328301849,0.0020404881771876617,0.1889408509553669,5.666625273347323,1.0,1.0611973631766347,0.010799613566203754
4.440000033378601,0.1965157929434836,0.0020211726744107225,0.1875590233714157,4.431471731963358,1.0,1.0477544050457714,0.010776195344162538
4.840000033378601,0.1877226254027124,0.001976415157412555,0.17904192417721274,4.3921446326408935,1.0,1.04848418193332,0.011038840017471728
5.239999985694885,0.1787556796939822,0.0019299257800709387,0.17175638926682701,3.6267148195190786,1.0,1.0407512667041554,0.011236413319522921
5.639999985694885,0.1718324129521709,0.001892966253993635,0.16460112940836907,3.820080536853632,1.0,1.043932162372114,0.011500323605297133
6.039999961853027,0.16803396865854725,0.0018732821013163134,0.15575645229609364,6.554013596684918,1.0,1.0788250899494938,0.01202699518190872
6.440000033378601,0.16183612251420984,0.0018398970276893019,0.14613150579830061,8.535595459726576,1.0,1.1074690678790764,0.0125906936881143
6.840000033378601,0.13803859838197935,0.0017031221736886614,0.13659699817733437,0.8464455615199535,1.0,1.0105536741208139,0.012468225483825176
7.239999985694885,0.11780697401207811,0.0015770328978535748,0.12683376121422674,-5.723905452089529,1.0,0.9288297759545106,0.012433857379581373
7.639999985694885,0.10601629166831986,0.0014984530150118657,0.11797815073571447,-7.982805565178089,1.0,0.8986095392002657,0.012701106142683863
8.039999961853027,0.0978491300678511,0.0014425857831042454,0.11021062896891168,-8.568987054939868,1.0,0.8878375069926557,0.013089352602380769
8.439999914169311,0.09223471272226028,0.0014017677724584656,0.10278198598225044,-7.524265764429735,1.0,0.8973820834536941,0.01363826315537957
8.84000015258789,0.08339945174801834,0.001335116510473415,0.09561915403455482,-9.15253626981478,1.0,0.8722044509814371,0.013962856333062004
9.239999771118164,0.07983504310640173,0.001307595745148845,0.08913751449521265,-7.114179916325753,1.0,0.8956390982910957,0.01466942120333715
9.640000200271606,0.07235386779036554,0.0012484590973595867,0.08258560673163658,-8.195493919592984,1.0,0.8761074799084633,0.015117151120733146
10.039999961853027,0.06617898825042308,0.0011947619800625417,0.07346074770270876,-6.094736503001632,1.0,0.900875505899361,0.01626395071416468
10.439999914169311,0.05656794494829566,0.0011089930539815683,0.064476562865108,-7.131350271688702,1.0,0.877341198640535,0.017199940640472765
10.84000015258789,0.05352671246174608,0.0010808036319148746,0.059344513818464895,-5.382847711578591,1.0,0.9019656412635633,0.018212359700528633
11.239999771118164,0.04942109694324569,0.001039473754532892,0.05363541902687704,-4.054284261871662,1.0,0.9214265095697391,0.019380360466877408
11.640000200271606,0.04112522012874766,0.000953525528167991,0.04635206324653783,-5.481597464760597,1.0,0.8872360203257926,0.02057137183077201
12.039999961853027,0.037234381986110655,0.0009094896192440784,0.04119491053831313,-4.354671530494506,1.0,0.9038587898250439,0.022077718032624732
12.439999914169311,0.032815770082640625,0.0008554141711019557,0.038263734898910995,-6.368803557757561,1.0,0.8576206731866778,0.022355741627467247
12.84000015258789,0.031647382002602,0.0008412432220022687,0.03563873690397452,-4.744590859077087,1.0,0.8880051525920551,0.023604742902895954
13.239999771118164,0.029517508878838295,0.0008143929719580548,0.032586952446963566,-3.768995649293695,1.0,0.9058075905342514,0.024991381850865267
13.640000200271606,0.02661966079473018,0.0007762886061256366,0.029604387398251792,-3.8448672052756563,1.0,0.8991795856685125,0.02622207971009994
14.039999961853027,0.027316577673365344,0.0007851446478781991,0.027229247783119775,0.11122777246405742,1.0,1.0032072090621507,0.02883460660139623
14.439999914169311,0.023086999947252596,0.0007255937796673175,0.02529242365068109,-3.0394743797826846,1.0,0.9128029905758318,0.028688187011598563
14.84000015258789,0.021997147486340303,0.0007088021278245315,0.023513441679087716,-2.139234820585614,1.0,0.9355137281287083,0.03014455040220347
15.239999771118164,0.01953169512662007,0.0006707126082928482,0.02183042084787254,-3.4272886670542406,1.0,0.8947008059408763,0.030723759883823396
15.640000200271606,0.019750827641668224,0.0006743838836749835,0.0202892758267636,-0.7984297936676075,1.0,0.9734614389546072,0.03323844031857476
16.040000247955323,0.018275552018994574,0.0006517668284351416,0.01890430373620456,-0.9646881212405155,1.0,0.9667402869746621,0.03447716655054113
16.44000005722046,0.01806238563515068,0.0006463391382983462,0.01765104358008756,0.6364182991394934,1.0,1.0233041209828047,0.036617616140696196
16.839999771118165,0.015896200244326475,0.0006111354181749605,0.016476624692907983,-0.9497476849154567,1.0,0.9647728549141901,0.03709105654618758
17.240000247955322,0.01620310548976257,0.000615361358975394,0.015365155096820274,1.3617208502294047,1.0,1.0545357588427926,0.04004914724894247
17.639999866485596,0.014061122859684905,0.0005760395203827319,0.014337080008083975,-0.47905940240995626,1.0,0.9807522069875128,0.04017830130388695
18.04000005722046,0.01393416394175497,0.0005746808389791198,0.013402184530557387,0.9256954036306607,1.0,1.039693485042282,0.04287963933557474
18.44000005722046,0.012664367749073962,0.0005488173947481247,0.012559041762330355,0.19191444686614814,1.0,1.0083864667971343,0.0436989863664798
18.839999771118165,0.0123952413476882,0.0005426314109665127,0.011776712663019735,1.1398689279095886,1.0,1.0525213361629107,0.046076645197470026
19.240000247955322,0.0114656778950785,0.0005240579914019774,0.011042668043174681,0.807181378480974,1.0,1.0383068521348222,0.04745755186636171
